ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
713,N/A,05,100B01-EE-EML-1.FL-013,,100B-EML-1FL-013,,,"Emergency Light",,,,,,,,,"Emergency Light No.05",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
714,N/A,06,100B01-EE-EML-1.FL-014,,100B-EML-1FL-014,,,"Emergency Light",,,,,,,,,"Emergency Light No.06",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
715,N/A,07,100B01-EE-EML-1.FL-015,,100B-EML-1FL-015,,,"Emergency Light",,,,,,,,,"Emergency Light No.07",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
716,N/A,08,100B01-EE-EML-1.FL-016,,100B-EML-1FL-016,,,"Emergency Light",,,,,,,,,"Emergency Light No.08",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
717,N/A,09,100B01-EE-EML-1.FL-017,,100B-EML-1FL-017,,,"Emergency Light",,,,,,,,,"Emergency Light No.09",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
718,N/A,10,100B01-EE-EML-1.FL-018,,100B-EML-1FL-018,,,"Emergency Light",,,,,,,,,"Emergency Light No.10",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
719,N/A,11,100B01-EE-EML-1.FL-019,,100B-EML-1FL-019,,,"Emergency Light",,,,,,,,,"Emergency Light No.11",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
720,N/A,12,100B01-EE-EML-1.FL-020,,100B-EML-1FL-020,,,"Emergency Light",,,,,,,,,"Emergency Light No.12",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
721,N/A,13,100B01-EE-EML-1.FL-021,,100B-EML-1FL-021,,,"Emergency Light",,,,,,,,,"Emergency Light No.13",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
722,N/A,14,100B01-EE-EML-1.FL-022,,100B-EML-1FL-022,,,"Emergency Light",,,,,,,,,"Emergency Light No.14",,Fl.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
723,N/A,15,100B01-EE-EML-1.FL-023,,100B-EML-1FL-023,,,"Emergency Light",,,,,,,,,"Emergency Light No.15",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
724,N/A,16,100B01-EE-EML-1.FL-024,,100B-EML-1FL-024,,,"Emergency Light",,,,,,,,,"Emergency Light No.16",,FL.1,"In Use",,,2022-08-25,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
