AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
-,-,400B01-EE-AREA-7.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7M.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7M,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8M.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8M,,,,,,CRA,,,
-,-,400B01-EE-AREA-8M.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8M,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-9.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 9,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-10.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 10,,,,,,CRA,,,
-,-,400B01-EE-AREA-11.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
-,-,400B01-EE-AREA-11.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
-,-,400B01-EE-AREA-11.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
-,-,400B01-EE-AREA-11.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
-,-,400B01-EE-AREA-11.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
-,-,400B01-EE-AREA-11.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
-,-,400B01-EE-AREA-11.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
