ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
390,SIEMENS,11,100B01-EE-EMDB-5.FL-001,,100B-EDB-5FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.11 (EDB.4) MCCB 3P,150AT/160AF",,FL.5,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
391,SIEMENS,12,100B01-EE-EMDB-6.FL-001,,100B-EDB-6FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.12 ( EDB.A5) MCCB 3P,150AT/160AF",,FL.6,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
392,SIEMENS,13,100B01-EE-EMDB-7.FL-001,,100B-EDB-7FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.13 (EDB.6) MCCB,3P,250AT/400AF",,FL.7,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F7,"โรงพยาบาล 100B - ชั้น 7",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
393,SIEMENS,14,100B01-EE-EMDB-11.FL-001,,100B-EDB-11FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.14 (EDB.A10) MCCB,3P,100AT/160AF",,FL.11,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F11,"โรงพยาบาล 100B - ชั้น 11",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
394,SIEMENS,15,100B01-EE-EMDB-14.FL-001,,100B-EDB-14FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.15 (EDB.12) MCCB,3P,100AT/160AF",,FL.14,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F14,"โรงพยาบาล 100B - ชั้น 14",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1790,N/A,"EMDB-D (อาคารที่พักและลานจอด)",100B02-EE-EMDB-1.FL-004,,100B-EMDB-1FL-004(Dorm),,,"Emergency Main Distribution Board",,,,,,,,,"EMDB-D (อาคารที่พักและลานจอด)",,ห้องไฟฟ้าอาคารหอพักและลานจอด,"In Use",,,,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B02-F1,"หอพักฯ 100B-ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
372,SIEMENS,01,100B01-EE-DB-1.FL-001,,100B-DB-1FL-001,FL.1,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.01 (DB.M) MCCP 3P.400AT/400AF",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
373,SIEMENS,02,100B01-EE-DB-1.FL-002,,100B-DB-1FL-002,FL.1,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.02 (DB.M1) MCCB 3P.400AT/630AF",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
374,SIEMENS,03,100B01-EE-DB-1.FL-003,,100B-DB-1FL-003,FL.1,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.03 (DP.M2) MCCB 3P.400AT/630AF",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,1970-01-01,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
375,SIEMENS,04,100B01-EE-DB-2.FL-001,,100B-DB-2FL-001,FL.2,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.04 (DB.MZ) MCCB 3P.200AT/250AF",,FL.2,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
376,SIEMENS,05,100B01-EE-DB-4.FL-001,,100B-DB-4FL-001,FL.4,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.05 (DB.3) MCCB 3P.150AT/160AF",,FL.4,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
377,SIEMENS,06,100B01-EE-DB-6.FL-001,,100B-DB-6FL-001,,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.06 (DB.H) MCCB 3P.200AT/250AF",,FL.6,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
378,SIEMENS,07,100B01-EE-DB-8.FL-001,,100B-DB-8FL-001,,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.07 (DB.7) MCCB 3P.250AT/400AF",,FL.8,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F8,"โรงพยาบาล 100B - ชั้น 8",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
379,SIEMENS,08,100B01-EE-DB-12.FL-001,,100B-DB-12FL-001,,,"Distribution Board",,,,,,,,,"DISTRIBUTION BOARD No.08 (DB.11) MCCB 3P.100AT/160AF",,FL.12,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F12,"โรงพยาบาล 100B - ชั้น 12",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
370,SIEMENS,01,100B01-EE-CAP-1.FL-001,,100B-CPB-1FL-001,FL.1,,"Capacitor Bank",,,,,,,,,"CAPACITOR BANK No.1 MCCB 3P .1000AT/1000AF",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
371,SIEMENS,02,100B01-EE-CAP-1-002,,100B-CPB-1FL-002,FL.1,,"Capacitor Bank",,,,,,,,,"CAPACITOR BANK No.02 MCCB 3P.1000AT/1000AF",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
461,SIEMENS,03,100B01-EE-LP-1.FL-001,,100B-PP-1FL-001,,,"Load Panel",,,,,,,,,"Power Panel No.03 (PP.SAN3) MCCB 3P,100AT/160AF",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
462,SIEMENS,04,100B01-EE-LP-1.FL-002,,100B-PP-1FL-002,,,"Load Panel",,,,,,,,,"Power Panel No.04 (PP.SAN4) MCCB 3P,70AT/100AF",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
463,N/A,05,100B01-EE-LP-5.FL-001,,100B-PP-5FL-001,,,"Load Panel",,,,,,,,,"Power Panel No.05 (PP.L4) MCCB 3P,80AT/100AF",,FL.5,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
464,N/A,06,100B01-EE-LP-5.FL-002,,100B-PP-5FL-002,,,"Load Panel",,,,,,,,,"Power Panel No.06 (PP.R4) MCCB 3P,80AT/100AF",,FL.5,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
465,N/A,07,100B01-EE-LP-6.FL-001,,100B-PP-6FL-001,,,"Load Panel",,,,,,,,,"Power Panel No.07 (PP.LT)",,FL.6,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
466,SIEMENS,08,100B01-EE-LP-6.FL-002,,100B-PP-6FL-002,,,"Load Panel",,,,,,,,,"Power Panel No.08 (PP.JCU)",,FL.6,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
