ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
926,N/A,10,100B01-SN-TRS-1.FL-001,,100B-TRS-1FL-001,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.10",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
927,N/A,11,100B01-SN-TRS-1.FL-002,,100B-TRS-1FL-002,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.11",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
928,N/A,12,100B01-SN-TRS-1.FL-003,,100B-TRS-1FL-003,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.12",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
929,N/A,13,100B01-SN-TRS-1.FL-004,,100B-TRS-1FL-004,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.13",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
930,N/A,14,100B01-SN-TRS-1.FL-005,,100B-TRS-1FL-005,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.14",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
931,N/A,15,100B01-SN-TRS-1.FL-006,,100B-TRS-1FL-006,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.15",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
932,N/A,16,100B01-SN-TRS-1.FL-007,,100B-TRS-1FL-007,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.16",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
933,N/A,17,100B01-SN-TRS-1.FL-008,,100B-TRS-1FL-008,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.17",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
934,N/A,18,100B01-SN-TRS-1.FL-009,,100B-TRS-1FL-009,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.18",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
935,N/A,19,100B01-SN-TRS-1.FL-010,,100B-TRS-1FL-010,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.19",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
936,N/A,20,100B01-SN-TRS-1.FL-011,,100B-TRS-1FL-011,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.20",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
937,N/A,21,100B01-SN-TRS-1.FL-012,,100B-TRS-1FL-012,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.21",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
938,N/A,22,100B01-SN-TRS-1.FL-013,,100B-TRS-1FL-013,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.22",,FL.1,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
939,N/A,23,100B01-SN-TRS-M.FL-001,,100B-TRS-MFL-001,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.23",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
940,N/A,24,100B01-SN-TRS-M.FL-002,,100B-TRS-MFL-002,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.24",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
941,N/A,25,100B01-SN-TRS-M.FL-003,,100B-TRS-MFL-003,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.25",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
942,N/A,26,100B01-SN-TRS-M.FL-004,,100B-TRS-MFL-004,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.26",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
943,N/A,27,100B01-SN-TRS-M.FL-005,,100B-TRS-MFL-005,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.27",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
944,N/A,28,100B01-SN-TRS-M.FL-006,,100B-TRS-MFL-006,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.28",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
945,N/A,29,100B01-SN-TRS-M.FL-007,,100B-TRS-MFL-007,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.29",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
946,N/A,30,100B01-SN-TRS-M.FL-008,,100B-TRS-MFL-008,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.30",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
947,N/A,31,100B01-SN-TRS-M.FL-009,,100B-TRS-MFL-009,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.31",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
948,N/A,32,100B01-SN-TRS-M.FL-010,,100B-TRS-MFL-010,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.32",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
949,N/A,33,100B01-SN-TRS-M.FL-011,,100B-TRS-MFL-011,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.33",,FL.M,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
950,N/A,34,100B01-SN-TRS-2.FL-001,,100B-TRS-2FL-001,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.34",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
951,N/A,35,100B01-SN-TRS-2.FL-002,,100B-TRS-2FL-002,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.35",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
952,N/A,36,100B01-SN-TRS-2.FL-003,,100B-TRS-2FL-003,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.36",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
953,N/A,37,100B01-SN-TRS-2.FL-004,,100B-TRS-2FL-004,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.37",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
954,N/A,38,100B01-SN-TRS-2.FL-005,,100B-TRS-2FL-005,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.38",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
955,N/A,39,100B01-SN-TRS-2.FL-006,,100B-TRS-2Fl-006,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.39",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
956,N/A,40,100B01-SN-TRS-2.FL-007,,100B-TRS-2FL-007,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.40",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
957,N/A,41,100B01-SN-TRS-2.FL-008,,100B-TRS-2FL-008,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.41",,FL.2,"In Use",,,2022-08-30,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
